BIS Statistics Explorer
"Table D10.3: OTC, credit default swaps, by remaining maturity"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","O:Multi-name CDS","S:Central counterparties","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:T:Y:O:S:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,795677,1248449,1355653,1007805,1005660,1173024,1573620,1537790,1185460,1195217,1070784,867132
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","N:Single-name CDS","S:Central counterparties","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:N:S:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59051,103541,164365,225496,228314,231090,247767,219471,230659,213240,187925,235909
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","O:Multi-name CDS","W:Hedge funds","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:A:Y:O:W:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,7765,38842,14067,24920,28253,31822,64360,30179,13180,10215,8799,44854,34096,82491,63425,84357,59588,52415,53655,63462,53035,62446,43451
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","A:All instruments","U:Insurance and financial guaranty firms","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:T:Y:A:U:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,2907,4952,8654,17217,26874,28844,56997,56503,55337,54575,46786,28411,32903,14702,14360,20105,11247,6229,5662,6164,5752,4874,4703
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","F:Non-financial customers","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:S:Y:O:F:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,39418,63377,55142,70117,167596,57371,55538,64399,62076,184993,243426,152733,78978,48610,19169,24574,41919,42307,34320,37878,42830,49243,34363
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","O:Multi-name CDS","V:SPVs, SPCs, or SPEs","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:O:V:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,1268,5947,136,324,1799,1995,212,123,628,548,463,29307,5325,7004,5864,10797,17200,6299,10749,8295,3402,1619,3813
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","T:Banks and security firms","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:A:Y:N:T:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,73354,168290,581979,689482,854078,1821381,2299507,1982392,1484984,1466394,1242858,906704,761757,505627,267987,164846,114168,79590,66993,77893,50591,70272,42334
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","A:All instruments","S:Central counterparties","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:T:Y:A:S:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1159751,1793766,2153009,1889164,1842703,1918392,2290896,2245317,1987638,1945494,1811570,1600396
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","O:Multi-name CDS","U:Insurance and financial guaranty firms","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:A:Y:O:U:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,12668,36935,65285,61180,65272,75584,108753,79234,72786,67979,61142,78781,75679,96785,103108,99121,97915,110195,98582,69573,134387,100982,89325
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","U:Insurance and financial guaranty firms","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:N:U:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,6847,12196,24974,28559,36284,24365,24386,21548,17977,13757,8329,7991,8893,10569,11338,15771,18274,13966,12264,11948,7288,7420,7991
