BIS Statistics Explorer
"Table D5.2: Global OTC derivatives market"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","O:Multi-name CDS","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:O:A:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,1278979,2901090,3476247,6478862,10770985,18341068,25757449,23990644,16142745,11933083,10775633,11767291,11752998,14288365,11760974,11363963,10759512,11213912,9695752,8617368,7358034,6389050,5110444
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","Y:Credit default swaps (CDS)","A:All instruments","T:Banks and security firms","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:Y:A:T:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,10455,27429,56883,68504,80393,148446,488933,740053,1333362,861560,496386,405349,324688,222711,190832,124665,101650,65961,53456,69938,46427,36227,26236
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","4H:Multiple Sectors","5J:All countries",H:N:A:Y:A:A:A:4H:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7208723,6216857,6011337,5504133,5605966,4879091,4756176,4117049,3564321,3152032
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","R:Index products","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:R:A:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,7499870,7476428,12472632,10506252,9722651,9656437,10163340,8746209,7938679,6747270,5909499,4737239
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5K:European developed countries",H:N:A:Y:A:A:A:5A:5K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13010661,10870574,10172576,8205049,6782076,5718148
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:A:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,6395744,10211378,13908285,20352307,28650265,42580546,58243721,57402758,41882674,36098169,32692683,30260923,29897578,32409444,28626155,26930320,25068451,24349202,21019823,19462174,16398899,14594250,12293632
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","G:Other commodities","C:Forwards and swaps","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:G:C:A:A:5A:5J,137828,114479,102817,148371,159265,237705,218447,201247,271455,375697,434295,398189,480658,536800,1727594,1880571,2153389,2779993,3404656,5034274,7474245,2409577,1671010,1598958,1470098,1690761,1759940,1680234,1595875,1299564,1280510,1228231,1233304,1002843,908283,678752
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Z:Other","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Z:A:A:A:5A:5J,9330066,10387463,10536089,11408251,12159263,12313394,12905749,14383511,16496361,18327775,21949263,25508255,22644008,26612899,29086235,30793982,38331607,43025777,53212828,61387434,70463152,62667199,62290580,63269867,38328559,39536363,46498254,42612493,42184815,41814851,24985966,25496314,24814883,22540611,19794165,17684823
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","H:Total commodities (Sum of codes E, F and G)","C:Forwards and swaps","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:H:C:A:A:5A:5J,255289,212777,213395,281397,287871,349762,316471,317932,408319,537987,591748,573679,632070,692029,1857358,2037164,2336200,2951612,3587828,5284713,7782166,2623101,1893458,1875615,1775596,2011022,2128845,2051850,1978189,1658018,1579142,1461868,1474112,1215267,1100984,887964
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5P:All other countries",H:N:A:Y:A:A:A:5A:5P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479316,461174,458237,429850,320123,407164
